index,null_percent,mean_fixation_duration,fixation_rate,Hs,Ht,N_unique_seq_3,count_of_most_seq_3,N_unique_seq_more_than_2_times_3,mean_repetition_3,N_unique_seq_4,count_of_most_seq_4,N_unique_seq_more_than_2_times_4,mean_repetition_4,N_unique_seq_5,count_of_most_seq_5,N_unique_seq_more_than_2_times_5,mean_repetition_5,N_unique_seq_6,count_of_most_seq_6,N_unique_seq_more_than_2_times_6,mean_repetition_6,pID,group,trial
11,0.04262017193364814,0.9437339252336486,0.7986262613228876,2.2335902325423667,1.6685762989767483,49,0.08571428571428572,23,3.4347826086956523,76,0.038461538461538464,18,2.5555555555555554,95,0.02912621359223301,6,2.3333333333333335,100,0.0196078431372549,2,2.0,016,2,1
12,0.06760270410816432,0.6994213062499988,1.0257728374506379,2.170915301432648,1.5620043390125553,54,0.0759493670886076,22,5.7272727272727275,85,0.050955414012738856,29,3.4827586206896552,121,0.02564102564102564,25,2.4,141,0.012903225806451613,14,2.0,019,2,1
13,0.03775510204081633,0.7997665416666635,0.9057566154230248,2.32387623638292,1.724046172594856,58,0.07746478873239436,30,3.8,97,0.0425531914893617,28,2.5714285714285716,124,0.02857142857142857,14,2.142857142857143,133,0.014388489208633094,6,2.0,020,2,1
14,0.07743362831858407,0.861477627118648,0.7663092875068603,2.305146823183711,1.5902938376805267,56,0.15517241379310345,21,3.857142857142857,76,0.11304347826086956,14,3.7857142857142856,89,0.08771929824561403,9,3.7777777777777777,95,0.061946902654867256,8,3.25,021,2,1
15,0.044617784711388456,0.9818893416666677,0.7693198377281362,2.2259834337406748,1.551272315375882,45,0.11016949152542373,25,3.92,72,0.05128205128205128,25,2.8,92,0.04310344827586207,17,2.411764705882353,105,0.017391304347826087,10,2.0,022,2,1
17,0.04104032450489144,0.8378847166666655,0.8825026097256864,2.2162371485319285,1.5502003642946314,53,0.16101694915254236,16,5.0625,69,0.1282051282051282,19,3.526315789473684,87,0.09482758620689655,11,3.6363636363636362,96,0.0782608695652174,7,3.7142857142857144,025,2,1
23,0.08315542271562767,1.4813676233766406,0.5071469920374234,2.019480913110566,1.19515611209154,28,0.16,14,4.357142857142857,41,0.13513513513513514,10,4.3,50,0.1232876712328767,6,4.833333333333333,56,0.09722222222222222,4,5.0,003,1,2
24,0.02585682417359562,0.6946077818181899,1.0322553651128512,2.3634741136389157,1.7274009140545477,65,0.09202453987730061,34,3.8823529411764706,106,0.037037037037037035,31,2.806451612903226,134,0.024844720496894408,22,2.227272727272727,155,0.0125,5,2.0,004,1,2
27,0.05146223002996796,0.9197165426356524,0.8217084257083824,2.2554569686729726,1.6104470716502972,54,0.14173228346456693,22,4.318181818181818,80,0.09523809523809523,21,3.1904761904761907,100,0.072,11,3.272727272727273,109,0.056451612903225805,7,3.142857142857143,007,1,2
30,0.04252746145318956,1.1856649345794388,0.6646656544781935,2.3995592770231693,1.659845098945759,53,0.0761904761904762,21,3.4761904761904763,79,0.038461538461538464,21,2.1904761904761907,94,0.019417475728155338,9,2.0,99,0.0196078431372549,3,2.0,010,1,2
40,0.1158416864730805,0.7041665833333339,0.8408446345506398,2.170055110162208,1.466874532866323,45,0.16923076923076924,30,3.8333333333333335,71,0.10077519379844961,28,3.0714285714285716,95,0.0703125,19,2.736842105263158,111,0.047244094488188976,9,2.7777777777777777,023,1,2
42,0.05707282913165266,1.1777431645569674,0.5784877327465756,2.2746717328050883,1.4189056836689857,37,0.12987012987012986,12,4.333333333333333,54,0.06578947368421052,10,3.2,64,0.04,9,2.2222222222222223,69,0.02702702702702703,5,2.0,027,1,2
43,0.03752931978107897,0.7623908924050633,0.9530677701277267,2.3490038787173817,1.6252275017494182,54,0.09615384615384616,31,4.290322580645161,86,0.05161290322580645,31,3.225806451612903,114,0.03896103896103896,25,2.6,133,0.026143790849673203,15,2.3333333333333335,029,1,2
44,0.03445262763699913,1.2640185625,0.6154372778790702,2.1736128229523644,1.283502981669773,31,0.1282051282051282,15,4.133333333333334,46,0.1038961038961039,15,3.066666666666667,56,0.07894736842105263,11,2.8181818181818183,63,0.06666666666666667,6,3.0,032,1,2
